# Command log — audit 2026-05-18
# Format: TIMESTAMP | EXIT | COMMAND
# Recorded for reproducibility per Preflight exit gate.

2026-05-18T21:32:00Z | 0 | python3 -m http.server 4321 --directory dist & npx pa11y --standard WCAG2AA http://localhost:4321/docs/getting-started/welcome/   # 3 WCAG 1.4.3 errors on footer
2026-05-18T21:32:00Z | 0 | awk '/^```bash$/,/^```$/' kubernetes-helm.mdx > helm-block.sh; bash -n   # exit 0 (parser-tolerant)
2026-05-18T21:32:00Z | 0 | npx shellcheck@latest helm-block.sh      # only flagged SC2148 (missing shebang); did NOT catch F-0001

# === Synthesis pass — page-data merger + DARI spec + Execution Profile update ===
2026-05-18T22:50:00Z | 0 | gh api repos/mupt-ai/dari-docs           # fetched DARI metadata + README for the Phase 13 sub-lens design
2026-05-18T22:51:00Z | 0 | gh run list --workflow=afdocs-scheduled.yml --limit 5   # 5 successful daily runs confirmed
2026-05-18T22:52:00Z | 0 | gh run view <id> --log                   # AFDocs scorecard JSON (overall=100); cached locally for the merger
2026-05-18T22:55:00Z | 0 | node build-page-data.mjs                 # 1st pass; F-NNNN backlinks 0; iterated regex
2026-05-18T22:57:00Z | 0 | node build-page-data.mjs                 # 2nd pass; F-NNNN backlinks too permissive (F-0029 leak)
2026-05-18T22:58:00Z | 0 | node build-page-data.mjs                 # 3rd pass; block-trim fixed; backlinks now F-0001/F-0003 only (correct)
2026-05-18T22:59:00Z | 0 | wc -l page-data.csv                      # 60 (1 header + 59 rows)
2026-05-18T22:59:00Z | 0 | jq '.total_pages' page-data.json         # 59
2026-05-18T22:59:30Z | 0 | diff (before) (after) build-page-data    # idempotent — empty diff

# === Phase 8 fold-into-Phase-13 refactor (user correction) ===
2026-05-18T23:30:00Z | 0 | rg -i 'doc-detective' src/content/docs/ -l   # confirmed: only the integration description; no inline markers
2026-05-18T23:30:00Z | 0 | rg '\{\s*\*doc-detective|<!--\s*doc-detective' src/content/docs/   # 0 matches — zero inline tests
2026-05-18T23:30:00Z | 0 | cat .doc-detective.json .doc-detective.ci.json   # confirmed input: src/content/docs; detectSteps: false
2026-05-18T23:35:00Z | 0 | node build-page-data.mjs                  # added DD columns; first attempt — execSync rg failed (shell function)
2026-05-18T23:36:00Z | 0 | node build-page-data.mjs                  # refactored to Node-native fs scanning; 1 spec, 0 inline, 17 procedures detected
2026-05-18T23:36:30Z | 0 | wc -l page-data.csv                       # still 60 (1 header + 59 rows)

# === Fifth-pass: team-shareable HTML report (Addendum 4) ===
2026-05-27T17:40:00Z | 0 | write build-report.mjs                    # ~1100 lines: parsers, charts, HTML template, embedded CSS+JS
2026-05-27T17:41:00Z | 0 | node build-report.mjs                     # first pass; 42 findings (F-0007/F-0018 dup-counted)
2026-05-27T17:42:00Z | 0 | node build-report.mjs                     # dedupe fix; 40 unique findings but 1 misclassified (severity normalization)
2026-05-27T17:43:00Z | 0 | node build-report.mjs                     # block-trim fix; F-0029 no longer leaks into working notes
2026-05-27T17:44:00Z | 0 | node build-report.mjs                     # severity normalization fix; final counts match docs (2C/11S/19M/5L + 3W)
2026-05-27T17:45:00Z | 0 | diff (before) (after)                     # idempotent — empty diff
2026-05-27T17:45:30Z | 0 | wc -c report.html                         # 290,663 bytes self-contained
2026-05-27T18:10:00Z | 0 | npm install --no-save playwright           # for headless screenshot
2026-05-27T18:11:00Z | 0 | npx playwright install chromium            # ~92 MB download
2026-05-27T18:12:00Z | 0 | node build-highlight-png.mjs               # 1440×1721 px, 556 KB; Slack-shareable
2026-05-28T10:00:00Z | 0 | node build-inventory-png.mjs               # inventory overview: HTML + 1500×2492 PNG (969 KB)
